Temperature - (Celsius), Year, Statistics, Country, ISO3
2.0, 1901, Jan Average, France, FRA
-0.3, 1901, Feb Average, France, FRA
4.5, 1901, Mar Average, France, FRA
9.8, 1901, Apr Average, France, FRA
12.9, 1901, May Average, France, FRA
16.9, 1901, Jun Average, France, FRA
19.1, 1901, Jul Average, France, FRA
18.0, 1901, Aug Average, France, FRA
15.6, 1901, Sep Average, France, FRA
10.5, 1901, Oct Average, France, FRA
4.5, 1901, Nov Average, France, FRA
3.2, 1901, Dec Average, France, FRA
3.8, 1902, Jan Average, France, FRA
2.9, 1902, Feb Average, France, FRA
7.0, 1902, Mar Average, France, FRA
10.4, 1902, Apr Average, France, FRA
9.7, 1902, May Average, France, FRA
15.2, 1902, Jun Average, France, FRA
18.3, 1902, Jul Average, France, FRA
17.3, 1902, Aug Average, France, FRA
14.8, 1902, Sep Average, France, FRA
10.1, 1902, Oct Average, France, FRA
5.7, 1902, Nov Average, France, FRA
2.8, 1902, Dec Average, France, FRA
3.2, 1903, Jan Average, France, FRA
5.5, 1903, Feb Average, France, FRA
7.4, 1903, Mar Average, France, FRA
6.8, 1903, Apr Average, France, FRA
12.7, 1903, May Average, France, FRA
14.8, 1903, Jun Average, France, FRA
17.4, 1903, Jul Average, France, FRA
17.4, 1903, Aug Average, France, FRA
15.4, 1903, Sep Average, France, FRA
12.0, 1903, Oct Average, France, FRA
6.6, 1903, Nov Average, France, FRA
2.3, 1903, Dec Average, France, FRA
2.4, 1904, Jan Average, France, FRA
4.4, 1904, Feb Average, France, FRA
5.4, 1904, Mar Average, France, FRA
10.3, 1904, Apr Average, France, FRA
13.6, 1904, May Average, France, FRA
16.5, 1904, Jun Average, France, FRA
20.3, 1904, Jul Average, France, FRA
18.6, 1904, Aug Average, France, FRA
13.8, 1904, Sep Average, France, FRA
11.0, 1904, Oct Average, France, FRA
5.1, 1904, Nov Average, France, FRA
4.3, 1904, Dec Average, France, FRA
1.2, 1905, Jan Average, France, FRA
3.6, 1905, Feb Average, France, FRA
7.2, 1905, Mar Average, France, FRA
9.2, 1905, Apr Average, France, FRA
11.7, 1905, May Average, France, FRA
16.7, 1905, Jun Average, France, FRA
20.1, 1905, Jul Average, France, FRA
17.7, 1905, Aug Average, France, FRA
14.8, 1905, Sep Average, France, FRA
7.8, 1905, Oct Average, France, FRA
5.4, 1905, Nov Average, France, FRA
3.3, 1905, Dec Average, France, FRA
3.8, 1906, Jan Average, France, FRA
2.8, 1906, Feb Average, France, FRA
5.4, 1906, Mar Average, France, FRA
8.5, 1906, Apr Average, France, FRA
12.7, 1906, May Average, France, FRA
16.0, 1906, Jun Average, France, FRA
18.3, 1906, Jul Average, France, FRA
18.9, 1906, Aug Average, France, FRA
15.3, 1906, Sep Average, France, FRA
12.6, 1906, Oct Average, France, FRA
7.3, 1906, Nov Average, France, FRA
1.7, 1906, Dec Average, France, FRA
2.1, 1907, Jan Average, France, FRA
1.6, 1907, Feb Average, France, FRA
5.9, 1907, Mar Average, France, FRA
8.2, 1907, Apr Average, France, FRA
12.8, 1907, May Average, France, FRA
15.3, 1907, Jun Average, France, FRA
16.5, 1907, Jul Average, France, FRA
18.0, 1907, Aug Average, France, FRA
16.0, 1907, Sep Average, France, FRA
11.7, 1907, Oct Average, France, FRA
7.2, 1907, Nov Average, France, FRA
5.1, 1907, Dec Average, France, FRA
1.1, 1908, Jan Average, France, FRA
4.3, 1908, Feb Average, France, FRA
4.8, 1908, Mar Average, France, FRA
7.4, 1908, Apr Average, France, FRA
14.2, 1908, May Average, France, FRA
17.1, 1908, Jun Average, France, FRA
18.0, 1908, Jul Average, France, FRA
16.9, 1908, Aug Average, France, FRA
14.7, 1908, Sep Average, France, FRA
11.6, 1908, Oct Average, France, FRA
5.8, 1908, Nov Average, France, FRA
3.1, 1908, Dec Average, France, FRA
1.6, 1909, Jan Average, France, FRA
1.6, 1909, Feb Average, France, FRA
4.4, 1909, Mar Average, France, FRA
10.4, 1909, Apr Average, France, FRA
12.6, 1909, May Average, France, FRA
14.3, 1909, Jun Average, France, FRA
16.3, 1909, Jul Average, France, FRA
17.9, 1909, Aug Average, France, FRA
14.2, 1909, Sep Average, France, FRA
12.2, 1909, Oct Average, France, FRA
4.7, 1909, Nov Average, France, FRA
4.6, 1909, Dec Average, France, FRA
3.8, 1910, Jan Average, France, FRA
5.1, 1910, Feb Average, France, FRA
6.4, 1910, Mar Average, France, FRA
8.4, 1910, Apr Average, France, FRA
11.8, 1910, May Average, France, FRA
16.3, 1910, Jun Average, France, FRA
16.5, 1910, Jul Average, France, FRA
17.3, 1910, Aug Average, France, FRA
14.1, 1910, Sep Average, France, FRA
11.8, 1910, Oct Average, France, FRA
5.5, 1910, Nov Average, France, FRA
5.7, 1910, Dec Average, France, FRA
1.0, 1911, Jan Average, France, FRA
4.1, 1911, Feb Average, France, FRA
6.3, 1911, Mar Average, France, FRA
8.3, 1911, Apr Average, France, FRA
13.4, 1911, May Average, France, FRA
15.9, 1911, Jun Average, France, FRA
20.7, 1911, Jul Average, France, FRA
21.0, 1911, Aug Average, France, FRA
17.3, 1911, Sep Average, France, FRA
11.4, 1911, Oct Average, France, FRA
7.2, 1911, Nov Average, France, FRA
6.0, 1911, Dec Average, France, FRA
4.1, 1912, Jan Average, France, FRA
6.5, 1912, Feb Average, France, FRA
8.4, 1912, Mar Average, France, FRA
9.0, 1912, Apr Average, France, FRA
13.6, 1912, May Average, France, FRA
15.8, 1912, Jun Average, France, FRA
18.0, 1912, Jul Average, France, FRA
15.3, 1912, Aug Average, France, FRA
12.3, 1912, Sep Average, France, FRA
9.8, 1912, Oct Average, France, FRA
5.0, 1912, Nov Average, France, FRA
5.0, 1912, Dec Average, France, FRA
4.7, 1913, Jan Average, France, FRA
4.2, 1913, Feb Average, France, FRA
7.8, 1913, Mar Average, France, FRA
9.0, 1913, Apr Average, France, FRA
12.9, 1913, May Average, France, FRA
15.9, 1913, Jun Average, France, FRA
16.3, 1913, Jul Average, France, FRA
17.4, 1913, Aug Average, France, FRA
15.1, 1913, Sep Average, France, FRA
12.1, 1913, Oct Average, France, FRA
9.0, 1913, Nov Average, France, FRA
3.7, 1913, Dec Average, France, FRA
0.1, 1914, Jan Average, France, FRA
6.0, 1914, Feb Average, France, FRA
7.3, 1914, Mar Average, France, FRA
11.1, 1914, Apr Average, France, FRA
11.9, 1914, May Average, France, FRA
15.1, 1914, Jun Average, France, FRA
17.4, 1914, Jul Average, France, FRA
18.2, 1914, Aug Average, France, FRA
15.1, 1914, Sep Average, France, FRA
10.5, 1914, Oct Average, France, FRA
5.9, 1914, Nov Average, France, FRA
5.4, 1914, Dec Average, France, FRA
3.2, 1915, Jan Average, France, FRA
3.9, 1915, Feb Average, France, FRA
5.4, 1915, Mar Average, France, FRA
8.4, 1915, Apr Average, France, FRA
14.3, 1915, May Average, France, FRA
17.3, 1915, Jun Average, France, FRA
17.4, 1915, Jul Average, France, FRA
17.3, 1915, Aug Average, France, FRA
14.4, 1915, Sep Average, France, FRA
9.3, 1915, Oct Average, France, FRA
4.2, 1915, Nov Average, France, FRA
6.7, 1915, Dec Average, France, FRA
5.9, 1916, Jan Average, France, FRA
4.5, 1916, Feb Average, France, FRA
5.9, 1916, Mar Average, France, FRA
9.4, 1916, Apr Average, France, FRA
13.7, 1916, May Average, France, FRA
14.0, 1916, Jun Average, France, FRA
17.4, 1916, Jul Average, France, FRA
18.1, 1916, Aug Average, France, FRA
14.2, 1916, Sep Average, France, FRA
11.2, 1916, Oct Average, France, FRA
6.7, 1916, Nov Average, France, FRA
4.1, 1916, Dec Average, France, FRA
0.9, 1917, Jan Average, France, FRA
0.9, 1917, Feb Average, France, FRA
4.1, 1917, Mar Average, France, FRA
6.5, 1917, Apr Average, France, FRA
15.1, 1917, May Average, France, FRA
17.9, 1917, Jun Average, France, FRA
18.3, 1917, Jul Average, France, FRA
17.2, 1917, Aug Average, France, FRA
16.5, 1917, Sep Average, France, FRA
9.3, 1917, Oct Average, France, FRA
6.8, 1917, Nov Average, France, FRA
0.6, 1917, Dec Average, France, FRA
3.3, 1918, Jan Average, France, FRA
4.8, 1918, Feb Average, France, FRA
6.2, 1918, Mar Average, France, FRA
8.6, 1918, Apr Average, France, FRA
14.2, 1918, May Average, France, FRA
14.7, 1918, Jun Average, France, FRA
18.1, 1918, Jul Average, France, FRA
18.1, 1918, Aug Average, France, FRA
15.4, 1918, Sep Average, France, FRA
9.6, 1918, Oct Average, France, FRA
6.0, 1918, Nov Average, France, FRA
6.2, 1918, Dec Average, France, FRA
3.2, 1919, Jan Average, France, FRA
3.3, 1919, Feb Average, France, FRA
5.9, 1919, Mar Average, France, FRA
7.4, 1919, Apr Average, France, FRA
13.5, 1919, May Average, France, FRA
16.5, 1919, Jun Average, France, FRA
15.8, 1919, Jul Average, France, FRA
19.1, 1919, Aug Average, France, FRA
16.5, 1919, Sep Average, France, FRA
8.2, 1919, Oct Average, France, FRA
4.2, 1919, Nov Average, France, FRA
4.8, 1919, Dec Average, France, FRA
5.1, 1920, Jan Average, France, FRA
6.0, 1920, Feb Average, France, FRA
8.1, 1920, Mar Average, France, FRA
9.9, 1920, Apr Average, France, FRA
14.8, 1920, May Average, France, FRA
16.1, 1920, Jun Average, France, FRA
17.7, 1920, Jul Average, France, FRA
16.4, 1920, Aug Average, France, FRA
15.2, 1920, Sep Average, France, FRA
11.1, 1920, Oct Average, France, FRA
5.2, 1920, Nov Average, France, FRA
3.5, 1920, Dec Average, France, FRA
6.2, 1921, Jan Average, France, FRA
4.1, 1921, Feb Average, France, FRA
7.2, 1921, Mar Average, France, FRA
8.8, 1921, Apr Average, France, FRA
13.8, 1921, May Average, France, FRA
16.9, 1921, Jun Average, France, FRA
20.7, 1921, Jul Average, France, FRA
18.2, 1921, Aug Average, France, FRA
16.8, 1921, Sep Average, France, FRA
14.1, 1921, Oct Average, France, FRA
4.2, 1921, Nov Average, France, FRA
4.0, 1921, Dec Average, France, FRA
2.8, 1922, Jan Average, France, FRA
4.1, 1922, Feb Average, France, FRA
6.6, 1922, Mar Average, France, FRA
7.8, 1922, Apr Average, France, FRA
14.9, 1922, May Average, France, FRA
16.5, 1922, Jun Average, France, FRA
16.8, 1922, Jul Average, France, FRA
17.3, 1922, Aug Average, France, FRA
13.5, 1922, Sep Average, France, FRA
9.1, 1922, Oct Average, France, FRA
5.1, 1922, Nov Average, France, FRA
4.2, 1922, Dec Average, France, FRA
3.4, 1923, Jan Average, France, FRA
6.0, 1923, Feb Average, France, FRA
7.4, 1923, Mar Average, France, FRA
9.3, 1923, Apr Average, France, FRA
12.4, 1923, May Average, France, FRA
13.6, 1923, Jun Average, France, FRA
20.2, 1923, Jul Average, France, FRA
18.9, 1923, Aug Average, France, FRA
15.1, 1923, Sep Average, France, FRA
12.6, 1923, Oct Average, France, FRA
5.4, 1923, Nov Average, France, FRA
3.4, 1923, Dec Average, France, FRA
3.0, 1924, Jan Average, France, FRA
2.0, 1924, Feb Average, France, FRA
6.1, 1924, Mar Average, France, FRA
9.2, 1924, Apr Average, France, FRA
14.3, 1924, May Average, France, FRA
16.2, 1924, Jun Average, France, FRA
18.2, 1924, Jul Average, France, FRA
15.7, 1924, Aug Average, France, FRA
15.4, 1924, Sep Average, France, FRA
11.6, 1924, Oct Average, France, FRA
6.9, 1924, Nov Average, France, FRA
4.2, 1924, Dec Average, France, FRA
4.6, 1925, Jan Average, France, FRA
5.5, 1925, Feb Average, France, FRA
4.0, 1925, Mar Average, France, FRA
9.1, 1925, Apr Average, France, FRA
13.0, 1925, May Average, France, FRA
16.9, 1925, Jun Average, France, FRA
18.1, 1925, Jul Average, France, FRA
17.7, 1925, Aug Average, France, FRA
13.4, 1925, Sep Average, France, FRA
11.6, 1925, Oct Average, France, FRA
4.7, 1925, Nov Average, France, FRA
3.5, 1925, Dec Average, France, FRA
3.6, 1926, Jan Average, France, FRA
7.9, 1926, Feb Average, France, FRA
7.2, 1926, Mar Average, France, FRA
10.5, 1926, Apr Average, France, FRA
11.4, 1926, May Average, France, FRA
14.5, 1926, Jun Average, France, FRA
18.1, 1926, Jul Average, France, FRA
18.5, 1926, Aug Average, France, FRA
17.4, 1926, Sep Average, France, FRA
11.6, 1926, Oct Average, France, FRA
8.2, 1926, Nov Average, France, FRA
2.3, 1926, Dec Average, France, FRA
4.0, 1927, Jan Average, France, FRA
4.1, 1927, Feb Average, France, FRA
7.6, 1927, Mar Average, France, FRA
9.9, 1927, Apr Average, France, FRA
13.6, 1927, May Average, France, FRA
15.8, 1927, Jun Average, France, FRA
18.1, 1927, Jul Average, France, FRA
17.7, 1927, Aug Average, France, FRA
15.2, 1927, Sep Average, France, FRA
11.3, 1927, Oct Average, France, FRA
6.5, 1927, Nov Average, France, FRA
2.7, 1927, Dec Average, France, FRA
4.6, 1928, Jan Average, France, FRA
6.0, 1928, Feb Average, France, FRA
7.0, 1928, Mar Average, France, FRA
9.3, 1928, Apr Average, France, FRA
11.5, 1928, May Average, France, FRA
16.1, 1928, Jun Average, France, FRA
20.6, 1928, Jul Average, France, FRA
19.2, 1928, Aug Average, France, FRA
15.6, 1928, Sep Average, France, FRA
11.3, 1928, Oct Average, France, FRA
7.9, 1928, Nov Average, France, FRA
3.3, 1928, Dec Average, France, FRA
-0.1, 1929, Jan Average, France, FRA
-0.4, 1929, Feb Average, France, FRA
6.3, 1929, Mar Average, France, FRA
7.6, 1929, Apr Average, France, FRA
13.2, 1929, May Average, France, FRA
16.4, 1929, Jun Average, France, FRA
19.2, 1929, Jul Average, France, FRA
18.0, 1929, Aug Average, France, FRA
18.2, 1929, Sep Average, France, FRA
11.6, 1929, Oct Average, France, FRA
7.1, 1929, Nov Average, France, FRA
6.1, 1929, Dec Average, France, FRA
5.5, 1930, Jan Average, France, FRA
3.1, 1930, Feb Average, France, FRA
7.0, 1930, Mar Average, France, FRA
9.7, 1930, Apr Average, France, FRA
12.1, 1930, May Average, France, FRA
18.0, 1930, Jun Average, France, FRA
17.3, 1930, Jul Average, France, FRA
18.0, 1930, Aug Average, France, FRA
15.9, 1930, Sep Average, France, FRA
11.9, 1930, Oct Average, France, FRA
8.5, 1930, Nov Average, France, FRA
4.1, 1930, Dec Average, France, FRA
3.5, 1931, Jan Average, France, FRA
2.9, 1931, Feb Average, France, FRA
5.3, 1931, Mar Average, France, FRA
8.6, 1931, Apr Average, France, FRA
14.0, 1931, May Average, France, FRA
17.7, 1931, Jun Average, France, FRA
17.7, 1931, Jul Average, France, FRA
16.9, 1931, Aug Average, France, FRA
12.5, 1931, Sep Average, France, FRA
10.4, 1931, Oct Average, France, FRA
7.9, 1931, Nov Average, France, FRA
2.7, 1931, Dec Average, France, FRA
4.3, 1932, Jan Average, France, FRA
0.9, 1932, Feb Average, France, FRA
5.2, 1932, Mar Average, France, FRA
8.0, 1932, Apr Average, France, FRA
12.1, 1932, May Average, France, FRA
15.6, 1932, Jun Average, France, FRA
17.3, 1932, Jul Average, France, FRA
20.3, 1932, Aug Average, France, FRA
17.3, 1932, Sep Average, France, FRA
11.0, 1932, Oct Average, France, FRA
7.2, 1932, Nov Average, France, FRA
4.7, 1932, Dec Average, France, FRA
1.4, 1933, Jan Average, France, FRA
3.9, 1933, Feb Average, France, FRA
7.7, 1933, Mar Average, France, FRA
9.9, 1933, Apr Average, France, FRA
12.8, 1933, May Average, France, FRA
15.0, 1933, Jun Average, France, FRA
19.4, 1933, Jul Average, France, FRA
20.0, 1933, Aug Average, France, FRA
16.7, 1933, Sep Average, France, FRA
11.8, 1933, Oct Average, France, FRA
5.3, 1933, Nov Average, France, FRA
-0.6, 1933, Dec Average, France, FRA
3.0, 1934, Jan Average, France, FRA
2.9, 1934, Feb Average, France, FRA
6.1, 1934, Mar Average, France, FRA
10.6, 1934, Apr Average, France, FRA
13.9, 1934, May Average, France, FRA
17.0, 1934, Jun Average, France, FRA
19.8, 1934, Jul Average, France, FRA
17.4, 1934, Aug Average, France, FRA
17.1, 1934, Sep Average, France, FRA
11.8, 1934, Oct Average, France, FRA
5.5, 1934, Nov Average, France, FRA
7.3, 1934, Dec Average, France, FRA
2.1, 1935, Jan Average, France, FRA
5.0, 1935, Feb Average, France, FRA
6.0, 1935, Mar Average, France, FRA
9.0, 1935, Apr Average, France, FRA
11.4, 1935, May Average, France, FRA
17.5, 1935, Jun Average, France, FRA
19.6, 1935, Jul Average, France, FRA
18.0, 1935, Aug Average, France, FRA
16.1, 1935, Sep Average, France, FRA
10.7, 1935, Oct Average, France, FRA
7.2, 1935, Nov Average, France, FRA
3.5, 1935, Dec Average, France, FRA
6.3, 1936, Jan Average, France, FRA
4.3, 1936, Feb Average, France, FRA
7.8, 1936, Mar Average, France, FRA
8.2, 1936, Apr Average, France, FRA
13.2, 1936, May Average, France, FRA
16.1, 1936, Jun Average, France, FRA
17.3, 1936, Jul Average, France, FRA
18.1, 1936, Aug Average, France, FRA
15.9, 1936, Sep Average, France, FRA
8.8, 1936, Oct Average, France, FRA
6.5, 1936, Nov Average, France, FRA
4.1, 1936, Dec Average, France, FRA
4.9, 1937, Jan Average, France, FRA
6.6, 1937, Feb Average, France, FRA
5.4, 1937, Mar Average, France, FRA
9.7, 1937, Apr Average, France, FRA
14.2, 1937, May Average, France, FRA
16.8, 1937, Jun Average, France, FRA
18.7, 1937, Jul Average, France, FRA
19.0, 1937, Aug Average, France, FRA
15.4, 1937, Sep Average, France, FRA
11.6, 1937, Oct Average, France, FRA
6.1, 1937, Nov Average, France, FRA
2.8, 1937, Dec Average, France, FRA
4.0, 1938, Jan Average, France, FRA
3.6, 1938, Feb Average, France, FRA
8.7, 1938, Mar Average, France, FRA
7.6, 1938, Apr Average, France, FRA
11.5, 1938, May Average, France, FRA
17.0, 1938, Jun Average, France, FRA
17.6, 1938, Jul Average, France, FRA
18.2, 1938, Aug Average, France, FRA
15.8, 1938, Sep Average, France, FRA
11.3, 1938, Oct Average, France, FRA
9.2, 1938, Nov Average, France, FRA
2.2, 1938, Dec Average, France, FRA
5.2, 1939, Jan Average, France, FRA
4.6, 1939, Feb Average, France, FRA
5.1, 1939, Mar Average, France, FRA
10.2, 1939, Apr Average, France, FRA
11.2, 1939, May Average, France, FRA
16.5, 1939, Jun Average, France, FRA
17.4, 1939, Jul Average, France, FRA
18.1, 1939, Aug Average, France, FRA
15.2, 1939, Sep Average, France, FRA
10.2, 1939, Oct Average, France, FRA
8.6, 1939, Nov Average, France, FRA
2.5, 1939, Dec Average, France, FRA
-1.4, 1940, Jan Average, France, FRA
3.9, 1940, Feb Average, France, FRA
6.9, 1940, Mar Average, France, FRA
9.7, 1940, Apr Average, France, FRA
13.3, 1940, May Average, France, FRA
16.6, 1940, Jun Average, France, FRA
17.1, 1940, Jul Average, France, FRA
17.2, 1940, Aug Average, France, FRA
15.5, 1940, Sep Average, France, FRA
10.5, 1940, Oct Average, France, FRA
7.4, 1940, Nov Average, France, FRA
0.6, 1940, Dec Average, France, FRA
0.4, 1941, Jan Average, France, FRA
4.2, 1941, Feb Average, France, FRA
7.1, 1941, Mar Average, France, FRA
8.0, 1941, Apr Average, France, FRA
10.1, 1941, May Average, France, FRA
16.7, 1941, Jun Average, France, FRA
19.3, 1941, Jul Average, France, FRA
16.8, 1941, Aug Average, France, FRA
15.3, 1941, Sep Average, France, FRA
10.7, 1941, Oct Average, France, FRA
6.1, 1941, Nov Average, France, FRA
3.4, 1941, Dec Average, France, FRA
-0.9, 1942, Jan Average, France, FRA
-0.4, 1942, Feb Average, France, FRA
7.3, 1942, Mar Average, France, FRA
10.4, 1942, Apr Average, France, FRA
13.1, 1942, May Average, France, FRA
16.7, 1942, Jun Average, France, FRA
18.1, 1942, Jul Average, France, FRA
18.7, 1942, Aug Average, France, FRA
16.9, 1942, Sep Average, France, FRA
13.3, 1942, Oct Average, France, FRA
5.5, 1942, Nov Average, France, FRA
4.4, 1942, Dec Average, France, FRA
4.5, 1943, Jan Average, France, FRA
5.3, 1943, Feb Average, France, FRA
7.9, 1943, Mar Average, France, FRA
11.4, 1943, Apr Average, France, FRA
14.2, 1943, May Average, France, FRA
16.3, 1943, Jun Average, France, FRA
19.1, 1943, Jul Average, France, FRA
19.4, 1943, Aug Average, France, FRA
16.0, 1943, Sep Average, France, FRA
12.6, 1943, Oct Average, France, FRA
5.8, 1943, Nov Average, France, FRA
3.4, 1943, Dec Average, France, FRA
4.5, 1944, Jan Average, France, FRA
2.0, 1944, Feb Average, France, FRA
4.7, 1944, Mar Average, France, FRA
11.1, 1944, Apr Average, France, FRA
13.2, 1944, May Average, France, FRA
15.8, 1944, Jun Average, France, FRA
18.4, 1944, Jul Average, France, FRA
20.9, 1944, Aug Average, France, FRA
15.1, 1944, Sep Average, France, FRA
10.2, 1944, Oct Average, France, FRA
6.9, 1944, Nov Average, France, FRA
3.2, 1944, Dec Average, France, FRA
-1.3, 1945, Jan Average, France, FRA
6.5, 1945, Feb Average, France, FRA
8.2, 1945, Mar Average, France, FRA
11.7, 1945, Apr Average, France, FRA
14.9, 1945, May Average, France, FRA
17.8, 1945, Jun Average, France, FRA
20.1, 1945, Jul Average, France, FRA
18.1, 1945, Aug Average, France, FRA
16.6, 1945, Sep Average, France, FRA
12.3, 1945, Oct Average, France, FRA
6.1, 1945, Nov Average, France, FRA
4.5, 1945, Dec Average, France, FRA
1.5, 1946, Jan Average, France, FRA
6.2, 1946, Feb Average, France, FRA
6.7, 1946, Mar Average, France, FRA
11.2, 1946, Apr Average, France, FRA
13.2, 1946, May Average, France, FRA
15.7, 1946, Jun Average, France, FRA
19.1, 1946, Jul Average, France, FRA
17.9, 1946, Aug Average, France, FRA
16.4, 1946, Sep Average, France, FRA
11.0, 1946, Oct Average, France, FRA
6.8, 1946, Nov Average, France, FRA
1.7, 1946, Dec Average, France, FRA
0.7, 1947, Jan Average, France, FRA
1.1, 1947, Feb Average, France, FRA
7.0, 1947, Mar Average, France, FRA
11.3, 1947, Apr Average, France, FRA
14.9, 1947, May Average, France, FRA
18.2, 1947, Jun Average, France, FRA
20.4, 1947, Jul Average, France, FRA
21.1, 1947, Aug Average, France, FRA
17.8, 1947, Sep Average, France, FRA
11.9, 1947, Oct Average, France, FRA
8.3, 1947, Nov Average, France, FRA
3.8, 1947, Dec Average, France, FRA
5.8, 1948, Jan Average, France, FRA
4.3, 1948, Feb Average, France, FRA
9.4, 1948, Mar Average, France, FRA
10.4, 1948, Apr Average, France, FRA
14.0, 1948, May Average, France, FRA
16.0, 1948, Jun Average, France, FRA
17.0, 1948, Jul Average, France, FRA
18.0, 1948, Aug Average, France, FRA
15.4, 1948, Sep Average, France, FRA
11.5, 1948, Oct Average, France, FRA
7.0, 1948, Nov Average, France, FRA
4.4, 1948, Dec Average, France, FRA
4.1, 1949, Jan Average, France, FRA
4.5, 1949, Feb Average, France, FRA
5.4, 1949, Mar Average, France, FRA
11.9, 1949, Apr Average, France, FRA
12.0, 1949, May Average, France, FRA
16.5, 1949, Jun Average, France, FRA
20.2, 1949, Jul Average, France, FRA
19.6, 1949, Aug Average, France, FRA
19.0, 1949, Sep Average, France, FRA
13.3, 1949, Oct Average, France, FRA
6.3, 1949, Nov Average, France, FRA
5.0, 1949, Dec Average, France, FRA
2.6, 1950, Jan Average, France, FRA
6.3, 1950, Feb Average, France, FRA
7.5, 1950, Mar Average, France, FRA
8.4, 1950, Apr Average, France, FRA
14.1, 1950, May Average, France, FRA
18.6, 1950, Jun Average, France, FRA
20.3, 1950, Jul Average, France, FRA
18.9, 1950, Aug Average, France, FRA
15.2, 1950, Sep Average, France, FRA
11.2, 1950, Oct Average, France, FRA
7.4, 1950, Nov Average, France, FRA
1.2, 1950, Dec Average, France, FRA
4.5, 1951, Jan Average, France, FRA
4.7, 1951, Feb Average, France, FRA
5.7, 1951, Mar Average, France, FRA
9.0, 1951, Apr Average, France, FRA
11.6, 1951, May Average, France, FRA
16.0, 1951, Jun Average, France, FRA
18.5, 1951, Jul Average, France, FRA
17.4, 1951, Aug Average, France, FRA
16.5, 1951, Sep Average, France, FRA
10.3, 1951, Oct Average, France, FRA
8.6, 1951, Nov Average, France, FRA
4.3, 1951, Dec Average, France, FRA
2.4, 1952, Jan Average, France, FRA
2.4, 1952, Feb Average, France, FRA
8.0, 1952, Mar Average, France, FRA
11.1, 1952, Apr Average, France, FRA
14.4, 1952, May Average, France, FRA
18.0, 1952, Jun Average, France, FRA
20.4, 1952, Jul Average, France, FRA
19.1, 1952, Aug Average, France, FRA
13.3, 1952, Sep Average, France, FRA
11.0, 1952, Oct Average, France, FRA
5.5, 1952, Nov Average, France, FRA
3.5, 1952, Dec Average, France, FRA
0.5, 1953, Jan Average, France, FRA
2.5, 1953, Feb Average, France, FRA
7.2, 1953, Mar Average, France, FRA
10.1, 1953, Apr Average, France, FRA
14.8, 1953, May Average, France, FRA
15.3, 1953, Jun Average, France, FRA
18.0, 1953, Jul Average, France, FRA
18.9, 1953, Aug Average, France, FRA
16.3, 1953, Sep Average, France, FRA
12.2, 1953, Oct Average, France, FRA
6.3, 1953, Nov Average, France, FRA
6.7, 1953, Dec Average, France, FRA
1.4, 1954, Jan Average, France, FRA
1.8, 1954, Feb Average, France, FRA
7.4, 1954, Mar Average, France, FRA
8.4, 1954, Apr Average, France, FRA
12.4, 1954, May Average, France, FRA
16.1, 1954, Jun Average, France, FRA
16.6, 1954, Jul Average, France, FRA
16.9, 1954, Aug Average, France, FRA
15.7, 1954, Sep Average, France, FRA
12.2, 1954, Oct Average, France, FRA
7.9, 1954, Nov Average, France, FRA
6.0, 1954, Dec Average, France, FRA
4.5, 1955, Jan Average, France, FRA
3.6, 1955, Feb Average, France, FRA
4.5, 1955, Mar Average, France, FRA
10.2, 1955, Apr Average, France, FRA
12.5, 1955, May Average, France, FRA
16.4, 1955, Jun Average, France, FRA
19.1, 1955, Jul Average, France, FRA
19.1, 1955, Aug Average, France, FRA
15.7, 1955, Sep Average, France, FRA
10.2, 1955, Oct Average, France, FRA
6.2, 1955, Nov Average, France, FRA
6.2, 1955, Dec Average, France, FRA
4.2, 1956, Jan Average, France, FRA
-0.4, 1956, Feb Average, France, FRA
6.6, 1956, Mar Average, France, FRA
8.0, 1956, Apr Average, France, FRA
13.8, 1956, May Average, France, FRA
14.3, 1956, Jun Average, France, FRA
17.7, 1956, Jul Average, France, FRA
16.4, 1956, Aug Average, France, FRA
16.5, 1956, Sep Average, France, FRA
10.5, 1956, Oct Average, France, FRA
5.0, 1956, Nov Average, France, FRA
